,company,id,year,net_sales,op_profit_ebit,prof_after_net_fin_items,results,fixed_assets,current_assets,lt_liabilities,curr_liabilities,revenue,num_employes,op_prof_ebitda,prof_margin,gross_prof,quick_ratio,default,actual_status,date,Blanks
3872,Ahrling & Ã–stinge TrÃ¤dgÃ¥rdsanlÃ¤ggningar Aktiebolag,5561607259,2016,7905,1450,1449,1285,2319,3383,0,798,7964,9,1563,0.1834,0.7841,4.2393,0,Active,2016-12-31,0
3873,Ahrling & Ã–stinge TrÃ¤dgÃ¥rdsanlÃ¤ggningar Aktiebolag,5561607259,2015,7876,2201,2204,1360,2462,3701,0,1307,7934,10,2321,0.28,0.866599999999999,2.6151,0,Active,2015-12-31,0
3874,Ahrling & Ã–stinge TrÃ¤dgÃ¥rdsanlÃ¤ggningar Aktiebolag,5561607259,2014,8785,2558,2562,1551,2552,2541,0,1252,8785,10,2687,0.2924,0.8355,1.7196,0,Active,2014-12-31,0
3875,Ahrling & Ã–stinge TrÃ¤dgÃ¥rdsanlÃ¤ggningar Aktiebolag,5561607259,2013,9977,816,835,441,2681,1651,0,2208,9977,10,969,0.086,0.7601,0.747699999999999,0,Active,2013-12-31,0
3876,Ahrling & Ã–stinge TrÃ¤dgÃ¥rdsanlÃ¤ggningar Aktiebolag,5561607259,2012,6665,782,756,428,2631,2504,1000,2284,8166,12,974,0.1239,0.6977,1.0963,0,Active,2012-12-31,0
3877,Ahrling & Ã–stinge TrÃ¤dgÃ¥rdsanlÃ¤ggningar Aktiebolag,5561607259,2011,6179,604,570,409,2544,2291,1615,1566,6179,11,803,0.104399999999999,0.6954,1.0,0,Active,2011-12-31,0
3878,Ahrling & Ã–stinge TrÃ¤dgÃ¥rdsanlÃ¤ggningar Aktiebolag,5561607259,2010,7278,910,873,496,723,2643,0,1730,7278,10,1140,0.1257,0.7678,1.4474,0,Active,2010-12-31,0
3879,AIB Stockholm AB,5566384870,2017,18304,-1509,-1874,-1811,528,4072,1140,5126,18523,27,-1318,-1.0,0.754599999999999,0.3845,1,Inactive,2017-12-31,0
3880,AIB Stockholm AB,5566384870,2016,14504,158,22,2,212,3895,794,3168,14810,24,295,0.0109,0.7202,1.2295,0,Inactive,2016-12-31,0
3881,AIB Stockholm AB,5566384870,2015,16869,257,159,-49,402,2819,1048,1431,16869,16,483,0.0152,0.5006,1.97,0,Inactive,2015-12-31,0
3882,AIB Stockholm AB,5566384870,2014,17231,608,506,506,628,3397,1134,2099,17231,13,795,0.0353,0.4461,1.6184,0,Inactive,2014-12-31,0
3883,AIB Stockholm AB,5566384870,2013,13273,-798,-913,-653,715,2009,1216,1222,13273,13,-567,-1.0,0.368,1.644,0,Inactive,2013-12-31,0
3884,AIB Stockholm AB,5566384870,2012,7995,154,145,79,470,1300,158,413,7995,10,325,0.0192999999999999,0.5132,3.1477,0,Inactive,2012-12-31,0
3885,AIB Stockholm AB,5566384870,2011,17350,423,407,236,265,1773,23,930,17350,15,554,0.0243999999999999,0.39,1.9065,0,Inactive,2011-12-31,0
3886,AIB Stockholm AB,5566384870,2010,12590,-153,-178,-82,220,2654,185,1943,12671,18,-55,-1.0,0.4979,1.3659,0,Inactive,2010-12-31,0
3887,AIB Stockholm AB,5566384870,2009,14233,259,213,85,285,4455,147,3666,14233,18,370,0.0182,0.527,1.2152,0,Inactive,2009-12-31,0
3888,AIB Stockholm AB,5566384870,2008,8057,249,228,157,150,1129,154,351,8074,9,309,0.0312,0.433,3.2165,0,Inactive,2008-12-31,0
3889,AIMEK Byggteknik Aktiebolag,5565705521,2018,24,-1299,-219,29,2609,6049,0,286,24,2,-1299,-10.0,0.708299999999999,21.1503,0,Active,2018-12-31,0
3890,AIMEK Byggteknik Aktiebolag,5565705521,2017,9029,1122,1401,852,3222,6202,0,428,9029,2,1122,0.1552,0.3289,14.4906999999999,0,Active,2017-12-31,0
3891,AIMEK Byggteknik Aktiebolag,5565705521,2016,18359,4570,4686,3066,3589,5818,0,1113,18359,2,4570,0.2552,0.3652,5.2273,0,Active,2016-12-31,0
3892,AIMEK Byggteknik Aktiebolag,5565705521,2015,9413,1415,1542,1274,2727,3494,0,1256,9494,2,1415,0.1638,0.3538,2.7818,0,Active,2015-12-31,0
3893,AIMEK Byggteknik Aktiebolag,5565705521,2014,17455,3043,3201,2619,1905,3759,0,1077,17455,2,3043,0.1834,0.3186,3.49029999999999,0,Active,2014-12-31,0
3894,AIMEK Byggteknik Aktiebolag,5565705521,2013,6276,956,1115,786,1197,7310,0,6240,6276,1,956,0.1818,0.3075,1.1715,0,Active,2013-12-31,0
3895,AIMEK Byggteknik Aktiebolag,5565705521,2012,2174,242,247,114,1358,1021,0,670,2174,1,242,0.1132,0.514699999999999,1.52389999999999,0,Active,2012-12-31,0
3896,AIMEK Byggteknik Aktiebolag,5565705521,2011,1022,172,305,253,1261,506,0,149,1022,1,179,0.2984,1.0,3.396,0,Active,2011-12-31,0
3897,AIMEK Byggteknik Aktiebolag,5565705521,2010,977,198,198,150,1192,441,0,141,977,1,205,0.2027,1.0,3.1277,0,Active,2010-12-31,0
3898,Air 4 You Sweden AB,5569570855,2018,26672,1129,1127,872,38,6902,0,4307,26776,12,1155,0.0423,0.4695,1.5586,0,Active,2018-12-31,0
3899,Air 4 You Sweden AB,5569570855,2017,18255,1322,1320,1021,52,6410,0,3437,18367,11,1348,0.0724,0.5432,1.8246,0,Active,2017-12-31,0
3900,Air 4 You Sweden AB,5569570855,2016,21194,1518,1519,1196,77,5782,0,3666,21317,10,1544,0.0716,0.5018,1.5426,0,Active,2016-12-31,0
3901,Air 4 You Sweden AB,5569570855,2015,14670,1035,990,472,116,4392,0,3493,14741,7,1058,0.0706,0.4879,1.23099999999999,0,Active,2015-12-31,0
3902,Air 4 You Sweden AB,5569570855,2014,5638,117,92,92,65,1723,700,897,5660,3,122,0.0208,0.4681,1.8651,0,Active,2014-12-31,0
3903,AirControl i BorÃ¥s AB,5566025226,2019,7501,1393,1392,1150,163,3891,0,844,7501,3,1429,0.1857,0.611499999999999,4.3294,0,Active,2019-12-31,0
3904,AirControl i BorÃ¥s AB,5566025226,2018,6839,957,957,787,199,3624,0,867,6839,3,1010,0.1399,0.5751,4.0934,0,Active,2018-12-31,0
3905,AirControl i BorÃ¥s AB,5566025226,2017,6821,818,817,639,252,3027,0,1054,6821,3,870,0.1199,0.5527,2.7894,0,Active,2017-12-31,0
3906,AirControl i BorÃ¥s AB,5566025226,2016,5921,581,576,319,258,2458,0,625,5979,3,624,0.0981,0.5388,3.8768,0,Active,2016-12-31,0
3907,AirControl i BorÃ¥s AB,5566025226,2015,4726,603,603,503,338,2198,0,929,4938,2,661,0.1276,0.5599,2.3283,0,Active,2015-12-31,0
3908,AirControl i BorÃ¥s AB,5566025226,2014,4417,444,443,327,385,1265,0,500,4417,2,506,0.1005,0.5569,2.412,0,Active,2014-12-31,0
3909,AirControl i BorÃ¥s AB,5566025226,2013,3917,299,300,147,349,914,0,460,3939,2,347,0.0762999999999999,0.5326,1.88259999999999,0,Active,2013-12-31,0
3910,AirControl i BorÃ¥s AB,5566025226,2012,3528,94,96,42,224,906,0,422,3528,2,117,0.0275,0.5743,2.0308,0,Active,2012-12-31,0
3911,AirControl i BorÃ¥s AB,5566025226,2011,3809,432,432,225,247,1198,0,662,3809,2,459,0.1134,0.526899999999999,1.7281,0,Active,2011-12-31,0
3912,AirControl i BorÃ¥s AB,5566025226,2010,3261,51,51,27,145,811,0,492,3320,2,65,0.0156,0.4824,1.498,0,Active,2010-12-31,0
3913,AJ BetonghÃ¥ltagning AB,5566783642,2019,21013,-1141,-1214,1,7158,8965,2434,5699,21258,15,-877,-1.0,0.544,0.943,0,Active,2019-12-31,0
3914,AJ BetonghÃ¥ltagning AB,5566783642,2018,35216,3546,3479,1038,7409,12007,2749,8109,35715,23,4090,0.1007,0.7141,1.14219999999999,0,Active,2018-12-31,0
3915,AJ BetonghÃ¥ltagning AB,5566783642,2017,33016,4373,4223,1370,7475,10761,2957,8366,34536,33,4983,0.1325,0.8066,0.745,0,Active,2017-12-31,0
3916,AJ BetonghÃ¥ltagning AB,5566783642,2016,24375,-3478,-3592,-1176,9242,6399,1695,9051,25131,30,-2937,-1.0,0.7728,0.406,0,Active,2016-12-31,0
3917,AJ BetonghÃ¥ltagning AB,5566783642,2015,33213,7176,7067,4099,5215,12484,1098,7552,34598,36,7630,0.2161,0.8042,1.09,0,Active,2015-12-31,0
3918,AJ BetonghÃ¥ltagning AB,5566783642,2014,17511,213,117,81,3310,4862,1504,3311,17569,25,599,0.0121999999999999,0.7853,0.7946,0,Active,2014-12-31,0
3919,AJ BetonghÃ¥ltagning AB,5566783642,2013,14979,943,830,519,2402,5162,1457,2866,14979,19,1298,0.063,0.822399999999999,1.4065,0,Active,2013-12-31,0
